id;date_added;date_updated;species;target_organ;target_tissue;vessel_info;protocol;manufacturer;matrix_type;vessel_type;inhouse;rating_characterization;rating_complexity;rating_model_cost;rating_through_put_capacity;rating_turn_around_time;image_url;department;model_state;application_adme;application_efficacy;application_none;application_safety;animal_assay_replaced;note;experts;link;limitation_perceived
f37d05cd-54fc-4db1-8d2f-0d9abefdc94e;2023-01-16T04:14:18;2023-01-15T22:11:58;solutions;Cambridgeshire Granite;Northern black Home;solid;Awesome syndicate;strategic;Programmable Jersey Panama;protocol index Berkshire;false;81148;74581;34098;18912;77228;Tuna web-readiness;microchip;primary Buckinghamshire;false;true;false;true;Borders cross-platform;Arkansas;connect;European Public-key;portals
4e391be5-cdb3-48a4-9b40-4f38d4058b99;2023-01-15T12:11:18;2023-01-16T00:40:38;utilisation;service-desk;Balanced;PNG;Balanced Checking;Avon Future;Illinois Computer;architect;true;52116;16265;80383;90750;19139;wireless Investor Tuna;harness Salad;non-volatile multi-byte;true;true;false;false;Ethiopian microchip bleeding-edge;Soap;olive Planner program;adapter administration Handcrafted;Credit system revolutionary
c66949ad-de42-40fd-b015-0d42c7125201;2023-01-16T04:09:36;2023-01-15T22:00:58;product info-mediaries;Louisiana;SCSI Security Pound;Intelligent;Fords Web Iceland;Account;internet Savings Auto;monitor Intelligent FTP;true;93835;90480;22057;58911;50049;Computers;SQL engineer;copying rich Interactions;true;false;false;false;implement middleware;neural;Multi-tiered;payment;bypassing
b7213166-c71c-4824-84b0-2c2901f81d58;2023-01-15T16:39:32;2023-01-15T18:59:01;info-mediaries;Awesome;Outdoors pixel;Program;Walk Louisiana;Stream Ethiopia;deposit generate Glens;Account Bacon system;false;42351;85291;63846;32034;63412;content-based;disintermediate Gloves;Agent deliverables emulation;true;false;true;false;Orchestrator Electronics Kuwaiti;Architect;leverage;invoice Books Account;application Tennessee
684606b6-d45a-4141-b871-0bfcfd32cf9e;2023-01-15T21:52:31;2023-01-15T10:50:15;Card cultivate Junction;Global index Arkansas;Hat Luxembourg black;Account;Loan Forges salmon;user-facing Borders Up-sized;optical Chicken;orchestrate Planner auxiliary;false;4253;49672;1440;66887;26102;productize calculate Investment;mobile;Balanced Awesome;false;true;true;true;Bedfordshire productize turquoise;Dynamic Operations;Visionary PCI;JBOD user-centric Pants;Engineer
114a6530-872c-4ebc-beff-bcb8c1fb192f;2023-01-15T19:55:44;2023-01-15T08:30:09;intermediate visionary;fuchsia Keyboard sky;Paradigm;Latvian Place Mews;Unit;Incredible;calculate Music feed;Gloves;true;91726;25457;22632;42391;79206;CSS Guinea-Bissau sensor;Shoes;Shoes encoding Equatorial;false;true;false;true;pixel;reboot green;synthesize;Intuitive;Bike
c50e241b-6aed-4712-a64f-b84e82b5edf3;2023-01-15T12:45:56;2023-01-15T18:01:14;Berkshire;Chicken portals Usability;payment;web-enabled recontextualize;turn-key;calculating aggregate Dollar;Market;SQL;false;91372;94507;54106;11773;36153;Handcrafted Rustic bus;Manager Baht;methodologies;true;true;true;true;markets;Dominican SSL withdrawal;Solutions;Minnesota compress;utilize Communications
a27616a6-a917-404b-8128-b576844974b8;2023-01-16T00:01:33;2023-01-15T22:01:06;Kroon;index Concrete Account;enable Orchestrator;navigate;Representative;invoice non-volatile;virtual Fresh backing;Tasty cross-platform;true;281;96601;14490;54496;85392;olive Rubber;copying Kids Paradigm;Tuna Massachusetts;true;false;false;false;copying Berkshire payment;Synchronised Brazil;copy olive Colorado;District Rubber Fresh;Garden Fresh
8d67fdc8-350a-49e5-9827-ba6881a382aa;2023-01-15T12:17:49;2023-01-16T05:18:35;e-business;solid;deposit Group Directives;Car;Bike;Refined Outdoors;interface Tunisian;Cotton;false;4161;17367;20061;29475;82198;California Fall Legacy;Savings;Representative Coves;false;false;false;true;Associate;primary User-friendly Streamlined;Global frictionless IB;Rubber;Manors Refined wireless
7b5538db-4af6-4dda-98e9-d3e0f3baaf4e;2023-01-16T01:47:38;2023-01-15T09:36:51;Buckinghamshire Steel;Colorado user-centric indexing;lavender;synthesizing firewall index;Gloves back-end innovative;parsing;Concrete Integration Tasty;Unions West tolerance;true;46228;52371;93291;29470;90199;e-business redefine;Coordinator;bypassing Nauru AI;false;false;false;true;Global Inverse Account;Accountability Home;Generic SDD;Implementation Avon Compatible;Baht PNG Legacy
