id;cell_source_info;cell_architecture;vendor
1;Mexico scale;Representative visualize generating;Adaptive Jewelery
2;Ireland;envisioneer Falkland;Integration Communications Fords
3;syndicate Games Concrete;leverage Jewelery edge;Cheese
4;even-keeled;Pakistan Vermont;Metal
5;Engineer;Metical Mills;Games
6;Metal;Handcrafted indexing;Director explicit Angola
7;copy withdrawal Yemeni;Designer AI;Books networks channels
8;Bedfordshire feed;digital;transmitting Bacon Awesome
9;bus mesh;Analyst Cloned human-resource;capacitor Solutions
10;website Hawaii;Home Senior;Tools capacity
